net,length_um
_02268_,231.28
_04437_,230.85
_07434_,230.42
_06887_,229.19
_05285_,228.88
net232,228.64
_03588_,228.42
_02409_,228
_03671_,227.99
_02462_,227.885
_02919_,227.62
instr_srl,227.4
_07184_,227.12
_02133_,226.635
_03359_,225.72
_03779_,225.12
_02116_,224.9
_03561_,224.72
_03487_,224.69
_05270_,224.35
_04607_,224.32
_03723_,223.86
_03642_,223.85
_06605_,223.82
_05730_,223.71
_02316_,223.655
_02135_,223.53
_07556_,222.69
_03774_,222.58
_01651_,222.04
_03676_,221.67
net203,221.22
_05291_,220.44
cpu_state\[1\],220.24
_03653_,219.69
_01971_,219.24
_01670_,218.68
reg_pc\[26\],218.18
_05462_,217.2
_06426_,217.12
_01678_,217.01
_05645_,216.615
reg_pc\[8\],216.31
_06540_,216.07
_02974_,216.02
_05293_,214.33
_02415_,214.295
_05686_,214.12
_06413_,214.12
_02227_,212.9
net73,212.06
_02920_,211.675
_05283_,211.6
_06855_,211.38
_02079_,211.15
reg_pc\[24\],210.82
reg_pc\[20\],210.66
decoded_imm_j\[17\],210.64
net23,210.55
decoded_imm\[5\],210.2
_01674_,209.78
_06885_,209.39
_03446_,209.38
_05732_,209.06
_04318_,208.9
_03555_,208.87
_03461_,208.4
_04957_,208.25
_02211_,208.025
_03516_,207.715
_02242_,206.32
_00013_,206.08
_02186_,205.67
_02144_,205.59
_01615_,205.45
reg_pc\[14\],205.32
_03460_,204.97
reg_pc\[16\],204.77
_03613_,204.63
_03637_,204.37
_05743_,204.31
_03339_,204.18
decoded_imm\[4\],204.175
net60,203.92
net1,203.91
reg_pc\[30\],203.18
_03698_,202.84
_03528_,202.8
_02429_,202.68
_02439_,202.345
_02156_,202.16
_07488_,201.88
net383,200.81
_04250_,200.6
_03549_,200.06
_03845_,199.57
_05237_,199.24
reg_pc\[12\],197.98
_02309_,197.6
_03568_,196.68
_02192_,196.54
_03855_,196.36
_04103_,195.88
_06302_,195.79
_04746_,195.39
_02174_,195.34
_02205_,195.265
reg_pc\[15\],195.24
_06951_,195.08
_03290_,195.07
_02490_,195.05
_03638_,195
_04210_,194.62
_02403_,194.12
net240,193.3
_04396_,192.98
net47,192.92
net27,192.29
_02148_,191.9
_02376_,191.46
_03294_,191.35
net228,190.46
_06541_,190.21
reg_pc\[18\],190.1
_05245_,189.99
_03429_,189.84
_02332_,189.3
_06556_,189.28
_01647_,189
_06671_,188.66
decoded_imm_j\[9\],188.2
_03567_,188.07
reg_pc\[11\],187.92
_03439_,187.77
decoded_imm_j\[10\],187.105
_01676_,186.66
_03245_,186.06
decoded_imm_j\[16\],185.895
_05354_,185.7
_03965_,185.46
_02532_,185.185
net225,185.08
_04424_,184.76
net58,184.33
_02840_,184.27
_06574_,184.215
_02317_,184
decoded_imm_j\[3\],183.94
_03246_,183.87
net229,183.62
_02163_,183.28
_02502_,182.86
_07310_,182.84
_05301_,182.775
reg_pc\[10\],182.75
_01655_,182.53
_02209_,182.53
net131,182.44
_02213_,182.14
net156,182.12
_04135_,182.06
_05251_,182.06
_03686_,181.86
_05278_,181.44
